https://isss.gsu.edu/2020/03/04/gsu-coronavirus-covid-19-information-and-update/ , GSU Coronavirus (COVID-19) Information and Update , 2020-03-04
https://gsu.edu/coronavirus/ , Coronavirus , 2020-03-04
https://provost.gsu.edu/resources/for-faculty/resources-instruction-covid/ , Academic Continuity and Instructional Resources During the COVID-19 Pandemic , 2020-03-04
https://news.gsu.edu/2020/03/31/respiratory-therapists-on-the-front-lines-of-the-covid-19-battle/ , Georgia State Respiratory Therapists Battle COVID-19 , 2020-03-31
https://publichealth.gsu.edu/coronavirus/ , Coronavirus Incidence Forecasts , 2020-02-03
https://health.gsu.edu/2020/01/29/coronavirus-information/ , Coronavirus Information , 2020-01-29
https://efc.robinson.gsu.edu/about-the-director/media-quotes-on-covid-19-economic-impact/ , Media Quotes on COVID-19 Economic Impact , 2020-03-27
https://health.gsu.edu/ , Student Health Services , 2013-03-26
https://counselingcenter.gsu.edu/ , Home - Counseling and Testing Center , 2013-04-11
https://library.gsu.edu/scan-request/ , Scan Request for Print Reserves (COVID-19) , 2020-03-18
